Estado,Ano,area_colhida
AC,2003,109815
AC,2004,127724
AC,2005,118877
AC,2006,122597
AC,2007,122576
AC,2008,110388
AC,2009,86796
AC,2010,123620
AC,2011,127455
AC,2012,127095
AC,2013,128954
AC,2014,117668
AC,2015,107599
AC,2016,106538
AC,2017,97553
AC,2018,82836
AC,2019,79177
AC,2020,79458
AC,2021,84133
AC,2022,89950
AC,2023,95060
AL,2003,528905
AL,2004,613794
AL,2005,641377
AL,2006,636540
AL,2007,634174
AL,2008,671947
AL,2009,645213
AL,2010,593627
AL,2011,582528
AL,2012,502775
AL,2013,546208
AL,2014,540405
AL,2015,428604
AL,2016,404493
AL,2017,481571
AL,2018,409887
AL,2019,461101
AL,2020,442350
AL,2021,468136
AL,2022,424033
AL,2023,439948
AM,2003,189336
AM,2004,175371
AM,2005,206139
AM,2006,203221
AM,2007,173080
AM,2008,180099
AM,2009,183826
AM,2010,142858
AM,2011,164095
AM,2012,153148
AM,2013,149224
AM,2014,125850
AM,2015,118257
AM,2016,119475
AM,2017,128292
AM,2018,120557
AM,2019,117817
AM,2020,119128
AM,2021,112934
AM,2022,118008
AM,2023,114401
AP,2003,12726
AP,2004,13735
AP,2005,15868
AP,2006,15362
AP,2007,17306
AP,2008,21048
AP,2009,23290
AP,2010,24694
AP,2011,22373
AP,2012,24268
AP,2013,27893
AP,2014,41258
AP,2015,33704
AP,2016,36232
AP,2017,41630
AP,2018,35761
AP,2019,36306
AP,2020,38242
AP,2021,28113
AP,2022,27184
AP,2023,24631
BA,2003,4163961
BA,2004,4435445
BA,2005,4627622
BA,2006,4502976
BA,2007,4488811
BA,2008,4516911
BA,2009,4532952
BA,2010,4546575
BA,2011,4572010
BA,2012,3973317
BA,2013,4198595
BA,2014,4579150
BA,2015,4846152
BA,2016,4315806
BA,2017,3824862
BA,2018,3977002
BA,2019,4012783
BA,2020,4094295
BA,2021,4146367
BA,2022,4340110
BA,2023,4522809
CE,2003,1965181
CE,2004,1875313
CE,2005,1740442
CE,2006,1858755
CE,2007,1932592
CE,2008,1977223
CE,2009,2028803
CE,2010,1767471
CE,2011,2084945
CE,2012,1681170
CE,2013,1357664
CE,2014,1503104
CE,2015,1492991
CE,2016,1435573
CE,2017,1521661
CE,2018,1469310
CE,2019,1365496
CE,2020,1384688
CE,2021,1408091
CE,2022,1440333
CE,2023,1452932
DF,2003,101286
DF,2004,107471
DF,2005,125197
DF,2006,124725
DF,2007,128264
DF,2008,132474
DF,2009,121900
DF,2010,118952
DF,2011,127634
DF,2012,134905
DF,2013,136665
DF,2014,175023
DF,2015,160622
DF,2016,166419
DF,2017,162894
DF,2018,164900
DF,2019,163915
DF,2020,171535
DF,2021,166835
DF,2022,173925
DF,2023,175965
ES,2003,799230
ES,2004,782074
ES,2005,789050
ES,2006,769841
ES,2007,747298
ES,2008,733091
ES,2009,725997
ES,2010,692680
ES,2011,694202
ES,2012,687599
ES,2013,674028
ES,2014,657624
ES,2015,644523
ES,2016,613805
ES,2017,584247
ES,2018,558885
ES,2019,558258
ES,2020,565046
ES,2021,578947
ES,2022,599778
ES,2023,609499
GO,2003,3745600
GO,2004,4289294
GO,2005,4304529
GO,2006,4065639
GO,2007,3952008
GO,2008,4208223
GO,2009,4443982
GO,2010,4509824
GO,2011,4919111
GO,2012,5281966
GO,2013,5634651
GO,2014,6135201
GO,2015,6114291
GO,2016,6049297
GO,2017,6431544
GO,2018,6344144
GO,2019,6663002
GO,2020,6929925
GO,2021,7327842
GO,2022,7638596
GO,2023,8454151
MA,2003,1432100
MA,2004,1551916
MA,2005,1627381
MA,2006,1637776
MA,2007,1652648
MA,2008,1666510
MA,2009,1596422
MA,2010,1751480
MA,2011,1788327
MA,2012,1810460
MA,2013,1863771
MA,2014,2005779
MA,2015,1829354
MA,2016,1584338
MA,2017,1803687
MA,2018,1819981
MA,2019,1721828
MA,2020,1719030
MA,2021,1810779
MA,2022,1920950
MA,2023,2015293
MG,2003,4408882
MG,2004,4719607
MG,2005,4812335
MG,2006,4578337
MG,2007,4568217
MG,2008,4703626
MG,2009,4772071
MG,2010,4806876
MG,2011,4917082
MG,2012,5032492
MG,2013,5190990
MG,2014,5368786
MG,2015,5334772
MG,2016,5373130
MG,2017,5240285
MG,2018,5311185
MG,2019,5560336
MG,2020,5800675
MG,2021,5944278
MG,2022,6249522
MG,2023,6679784
MS,2003,2575059
MS,2004,2979375
MS,2005,3009341
MS,2006,2998133
MS,2007,3031332
MS,2008,3217211
MS,2009,3100205
MS,2010,3248610
MS,2011,3439922
MS,2012,3816618
MS,2013,4315144
MS,2014,4555459
MS,2015,4743631
MS,2016,4899405
MS,2017,5282706
MS,2018,5467545
MS,2019,5791872
MS,2020,5956336
MS,2021,6175166
MS,2022,6925653
MS,2023,7276371
MT,2003,6518960
MT,2004,7973012
MT,2005,8989823
MT,2006,8042909
MT,2007,8042299
MT,2008,8877880
MT,2009,8757373
MT,2010,9428195
MT,2011,9937437
MT,2012,11318857
MT,2013,12760017
MT,2014,13552610
MT,2015,14112886
MT,2016,14297088
MT,2017,15586181
MT,2018,15515876
MT,2019,16632047
MT,2020,17187508
MT,2021,17954671
MT,2022,19158124
MT,2023,21256358
PA,2003,1216022
PA,2004,1256329
PA,2005,1293294
PA,2006,1224421
PA,2007,1199651
PA,2008,1140569
PA,2009,1083835
PA,2010,1046680
PA,2011,1051117
PA,2012,1081538
PA,2013,1148739
PA,2014,1249770
PA,2015,1468661
PA,2016,1565725
PA,2017,1725643
PA,2018,1698250
PA,2019,1806069
PA,2020,2010218
PA,2021,2158669
PA,2022,2311915
PA,2023,2543535
PB,2003,599597
PB,2004,624392
PB,2005,578641
PB,2006,644704
PB,2007,589487
PB,2008,632884
PB,2009,629012
PB,2010,384802
PB,2011,545687
PB,2012,253726
PB,2013,297395
PB,2014,330585
PB,2015,287805
PB,2016,332362
PB,2017,319900
PB,2018,361742
PB,2019,330461
PB,2020,369045
PB,2021,308712
PB,2022,346881
PB,2023,344634
PE,2003,878568
PE,2004,1008986
PE,2005,1010270
PE,2006,1070406
PE,2007,1104999
PE,2008,1167411
PE,2009,1136561
PE,2010,936340
PE,2011,1069910
PE,2012,569964
PE,2013,535892
PE,2014,782413
PE,2015,614679
PE,2016,584297
PE,2017,623815
PE,2018,680757
PE,2019,592422
PE,2020,720780
PE,2021,667445
PE,2022,694196
PE,2023,630478
PI,2003,971323
PI,2004,1032627
PI,2005,1147224
PI,2006,1098456
PI,2007,1174354
PI,2008,1180739
PI,2009,1237217
PI,2010,1220790
PI,2011,1386117
PI,2012,1259127
PI,2013,1312656
PI,2014,1491554
PI,2015,1480523
PI,2016,1343593
PI,2017,1594307
PI,2018,1608186
PI,2019,1618462
PI,2020,1654236
PI,2021,1739147
PI,2022,1882048
PI,2023,1973449
PR,2003,9490042
PR,2004,9662142
PR,2005,9347329
PR,2006,9035310
PR,2007,9336223
PR,2008,9726911
PR,2009,9997588
PR,2010,9708173
PR,2011,9816821
PR,2012,10009301
PR,2013,10305857
PR,2014,10704717
PR,2015,10619322
PR,2016,10704291
PR,2017,10614860
PR,2018,10451016
PR,2019,10639983
PR,2020,10865644
PR,2021,10988227
PR,2022,11489689
PR,2023,11464429
RJ,2003,257470
RJ,2004,267872
RJ,2005,263989
RJ,2006,244654
RJ,2007,219100
RJ,2008,222308
RJ,2009,219007
RJ,2010,218438
RJ,2011,192440
RJ,2012,208737
RJ,2013,188562
RJ,2014,170600
RJ,2015,148284
RJ,2016,123939
RJ,2017,113891
RJ,2018,109210
RJ,2019,113309
RJ,2020,112252
RJ,2021,115790
RJ,2022,113487
RJ,2023,105268
RN,2003,490616
RN,2004,507498
RN,2005,432680
RN,2006,467869
RN,2007,407964
RN,2008,449294
RN,2009,441256
RN,2010,320059
RN,2011,422647
RN,2012,299922
RN,2013,271838
RN,2014,288548
RN,2015,228991
RN,2016,204136
RN,2017,238073
RN,2018,300196
RN,2019,315424
RN,2020,317266
RN,2021,262580
RN,2022,303246
RN,2023,306885
RO,2003,523249
RO,2004,564935
RO,2005,600168
RO,2006,594907
RO,2007,575861
RO,2008,596971
RO,2009,630654
RO,2010,637285
RO,2011,634317
RO,2012,639215
RO,2013,576085
RO,2014,573067
RO,2015,611967
RO,2016,608004
RO,2017,683098
RO,2018,656737
RO,2019,740035
RO,2020,805371
RO,2021,849127
RO,2022,961705
RO,2023,1080130
RR,2003,49494
RR,2004,63348
RR,2005,61762
RR,2006,59084
RR,2007,46590
RR,2008,50653
RR,2009,40223
RR,2010,40111
RR,2011,46500
RR,2012,48359
RR,2013,61176
RR,2014,59223
RR,2015,65113
RR,2016,61462
RR,2017,57352
RR,2018,75815
RR,2019,81597
RR,2020,94052
RR,2021,123264
RR,2022,150608
RR,2023,175947
RS,2003,7895995
RS,2004,8231761
RS,2005,7465115
RS,2006,7818575
RS,2007,7965033
RS,2008,8066724
RS,2009,7989189
RS,2010,7893089
RS,2011,8127158
RS,2012,7993733
RS,2013,8720492
RS,2014,9031185
RS,2015,8941887
RS,2016,8869923
RS,2017,9055832
RS,2018,8995602
RS,2019,9170906
RS,2020,9500873
RS,2021,9954418
RS,2022,10355832
RS,2023,10664286
SC,2003,1791683
SC,2004,1797170
SC,2005,1741479
SC,2006,1745517
SC,2007,1757281
SC,2008,1756048
SC,2009,1715293
SC,2010,1665337
SC,2011,1625025
SC,2012,1553974
SC,2013,1592682
SC,2014,1615086
SC,2015,1581244
SC,2016,1573363
SC,2017,1548103
SC,2018,1512716
SC,2019,1505000
SC,2020,1509824
SC,2021,1569221
SC,2022,1668620
SC,2023,1667894
SE,2003,289016
SE,2004,320021
SE,2005,361398
SE,2006,376663
SE,2007,390410
SE,2008,398469
SE,2009,418378
SE,2010,433382
SE,2011,378805
SE,2012,292910
SE,2013,361089
SE,2014,359618
SE,2015,343090
SE,2016,262675
SE,2017,334945
SE,2018,159459
SE,2019,262702
SE,2020,275690
SE,2021,286925
SE,2022,297674
SE,2023,304631
SP,2003,6242419
SP,2004,6476253
SP,2005,6645687
SP,2006,6822339
SP,2007,6820275
SP,2008,7561284
SP,2009,7406883
SP,2010,7624858
SP,2011,7886155
SP,2012,7884934
SP,2013,8098889
SP,2014,8320378
SP,2015,8425060
SP,2016,8624268
SP,2017,8820082
SP,2018,8650001
SP,2019,8842804
SP,2020,8857885
SP,2021,8795581
SP,2022,9056594
SP,2023,9198986
TO,2003,413314
TO,2004,541258
TO,2005,689319
TO,2006,589759
TO,2007,588620
TO,2008,649655
TO,2009,613357
TO,2010,665797
TO,2011,712276
TO,2012,737033
TO,2013,839223
TO,2014,1037140
TO,2015,1203553
TO,2016,1200125
TO,2017,1282462
TO,2018,1361419
TO,2019,1426906
TO,2020,1544660
TO,2021,1734385
TO,2022,1873313
TO,2023,2151789
