Estado,Ano,Internacoes_Respiratorias
AC,2003,434
AC,2004,365
AC,2005,498
AC,2006,390
AC,2007,410
AC,2008,4548
AC,2009,5305
AC,2010,4434
AC,2011,5023
AC,2012,4697
AC,2013,5240
AC,2014,4974
AC,2015,3604
AC,2016,3633
AC,2017,2935
AC,2018,3379
AL,2003,3435
AL,2004,3758
AL,2005,3994
AL,2006,3915
AL,2007,4229
AL,2008,23115
AL,2009,23766
AL,2010,22029
AL,2011,21424
AL,2012,17596
AL,2013,15855
AL,2014,13292
AL,2015,14164
AL,2016,13510
AL,2017,13980
AL,2018,12996
AM,2003,1799
AM,2004,2086
AM,2005,2469
AM,2006,3439
AM,2007,4205
AM,2008,16647
AM,2009,17309
AM,2010,18447
AM,2011,17738
AM,2012,17883
AM,2013,17562
AM,2014,16182
AM,2015,15487
AM,2016,14314
AM,2017,15699
AM,2018,16131
AP,2003,391
AP,2004,329
AP,2005,258
AP,2006,268
AP,2007,231
AP,2008,2945
AP,2009,3458
AP,2010,2847
AP,2011,4051
AP,2012,4184
AP,2013,4482
AP,2014,4057
AP,2015,3559
AP,2016,3302
AP,2017,3473
AP,2018,4140
BA,2003,36170
BA,2004,30814
BA,2005,23323
BA,2006,16433
BA,2007,17495
BA,2008,124533
BA,2009,138075
BA,2010,129998
BA,2011,122777
BA,2012,109039
BA,2013,100738
BA,2014,97687
BA,2015,98395
BA,2016,80928
BA,2017,83383
BA,2018,83397
CE,2003,10742
CE,2004,10226
CE,2005,11053
CE,2006,11513
CE,2007,11619
CE,2008,58152
CE,2009,64085
CE,2010,49775
CE,2011,55196
CE,2012,42645
CE,2013,47163
CE,2014,47711
CE,2015,47923
CE,2016,42502
CE,2017,49430
CE,2018,51774
DF,2003,3850
DF,2004,4653
DF,2005,4086
DF,2006,3995
DF,2007,3858
DF,2008,17965
DF,2009,18255
DF,2010,16989
DF,2011,17016
DF,2012,17725
DF,2013,17353
DF,2014,14711
DF,2015,14642
DF,2016,13743
DF,2017,15375
DF,2018,16235
ES,2003,3476
ES,2004,3278
ES,2005,3456
ES,2006,3527
ES,2007,3700
ES,2008,20771
ES,2009,22321
ES,2010,20786
ES,2011,22592
ES,2012,24185
ES,2013,21818
ES,2014,21691
ES,2015,23038
ES,2016,22164
ES,2017,22949
ES,2018,22358
GO,2003,6404
GO,2004,6358
GO,2005,6558
GO,2006,6451
GO,2007,6748
GO,2008,58640
GO,2009,63190
GO,2010,56646
GO,2011,52097
GO,2012,47205
GO,2013,48026
GO,2014,44033
GO,2015,43151
GO,2016,36363
GO,2017,37611
GO,2018,33459
MA,2003,5548
MA,2004,5239
MA,2005,5720
MA,2006,5547
MA,2007,5863
MA,2008,38752
MA,2009,51545
MA,2010,56432
MA,2011,63782
MA,2012,52569
MA,2013,55289
MA,2014,51950
MA,2015,52691
MA,2016,38401
MA,2017,48057
MA,2018,48239
MG,2003,22818
MG,2004,24166
MG,2005,25328
MG,2006,27154
MG,2007,26782
MG,2008,145087
MG,2009,147639
MG,2010,141041
MG,2011,137433
MG,2012,137574
MG,2013,134191
MG,2014,132311
MG,2015,127993
MG,2016,122655
MG,2017,125962
MG,2018,126278
MS,2003,3823
MS,2004,3921
MS,2005,3805
MS,2006,4250
MS,2007,3536
MS,2008,20507
MS,2009,23256
MS,2010,22913
MS,2011,21322
MS,2012,19282
MS,2013,21275
MS,2014,19959
MS,2015,18577
MS,2016,20819
MS,2017,19241
MS,2018,19918
MT,2003,3991
MT,2004,4237
MT,2005,4100
MT,2006,4194
MT,2007,4344
MT,2008,26893
MT,2009,30404
MT,2010,26427
MT,2011,24392
MT,2012,21800
MT,2013,22783
MT,2014,21842
MT,2015,20010
MT,2016,20182
MT,2017,19373
MT,2018,18807
PA,2003,12161
PA,2004,11642
PA,2005,10744
PA,2006,11073
PA,2007,12462
PA,2008,73182
PA,2009,85702
PA,2010,81401
PA,2011,80196
PA,2012,72604
PA,2013,71922
PA,2014,63870
PA,2015,55944
PA,2016,50700
PA,2017,57127
PA,2018,55169
PB,2003,5805
PB,2004,5413
PB,2005,5557
PB,2006,4929
PB,2007,4457
PB,2008,35039
PB,2009,38460
PB,2010,34049
PB,2011,29865
PB,2012,25544
PB,2013,25150
PB,2014,23688
PB,2015,21665
PB,2016,20066
PB,2017,22055
PB,2018,20950
PE,2003,14891
PE,2004,14128
PE,2005,14996
PE,2006,14009
PE,2007,15965
PE,2008,47467
PE,2009,50012
PE,2010,46085
PE,2011,49060
PE,2012,45278
PE,2013,46456
PE,2014,45016
PE,2015,43619
PE,2016,41054
PE,2017,45886
PE,2018,43121
PI,2003,3221
PI,2004,2903
PI,2005,2841
PI,2006,2686
PI,2007,3050
PI,2008,30329
PI,2009,37431
PI,2010,33335
PI,2011,34659
PI,2012,27947
PI,2013,30877
PI,2014,29330
PI,2015,26237
PI,2016,23653
PI,2017,25596
PI,2018,24519
PR,2003,14654
PR,2004,14569
PR,2005,13906
PR,2006,14606
PR,2007,14777
PR,2008,119086
PR,2009,134420
PR,2010,130368
PR,2011,118918
PR,2012,113720
PR,2013,110183
PR,2014,102447
PR,2015,97838
PR,2016,100178
PR,2017,97064
PR,2018,98207
RJ,2003,17141
RJ,2004,17260
RJ,2005,16160
RJ,2006,15522
RJ,2007,17276
RJ,2008,75890
RJ,2009,78547
RJ,2010,78036
RJ,2011,69231
RJ,2012,64205
RJ,2013,57074
RJ,2014,54994
RJ,2015,57428
RJ,2016,52142
RJ,2017,47606
RJ,2018,52357
RN,2003,2316
RN,2004,2289
RN,2005,2127
RN,2006,2186
RN,2007,2074
RN,2008,17588
RN,2009,21917
RN,2010,17014
RN,2011,17123
RN,2012,14383
RN,2013,14883
RN,2014,12171
RN,2015,12988
RN,2016,11198
RN,2017,11665
RN,2018,11928
RO,2003,1453
RO,2004,1494
RO,2005,1194
RO,2006,1071
RO,2007,1259
RO,2008,10751
RO,2009,14799
RO,2010,14390
RO,2011,13953
RO,2012,11922
RO,2013,14035
RO,2014,15241
RO,2015,13867
RO,2016,12328
RO,2017,13257
RO,2018,13619
RR,2003,188
RR,2004,156
RR,2005,177
RR,2006,195
RR,2007,188
RR,2008,2303
RR,2009,3116
RR,2010,3171
RR,2011,2743
RR,2012,3185
RR,2013,3042
RR,2014,3040
RR,2015,2619
RR,2016,3192
RR,2017,3559
RR,2018,3821
RS,2003,23379
RS,2004,22597
RS,2005,22705
RS,2006,23373
RS,2007,24347
RS,2008,112177
RS,2009,120183
RS,2010,116162
RS,2011,108657
RS,2012,106216
RS,2013,110141
RS,2014,103437
RS,2015,102730
RS,2016,104060
RS,2017,96516
RS,2018,92807
SC,2003,7104
SC,2004,6728
SC,2005,7326
SC,2006,7000
SC,2007,7232
SC,2008,52511
SC,2009,59749
SC,2010,54385
SC,2011,56330
SC,2012,56126
SC,2013,54398
SC,2014,52850
SC,2015,51728
SC,2016,55702
SC,2017,55224
SC,2018,56500
SE,2003,1834
SE,2004,2071
SE,2005,2015
SE,2006,1852
SE,2007,2016
SE,2008,7187
SE,2009,7000
SE,2010,7436
SE,2011,6236
SE,2012,6467
SE,2013,6718
SE,2014,5899
SE,2015,6552
SE,2016,6855
SE,2017,7260
SE,2018,8251
SP,2003,49982
SP,2004,51586
SP,2005,53114
SP,2006,54516
SP,2007,56862
SP,2008,232173
SP,2009,261648
SP,2010,255172
SP,2011,254736
SP,2012,240655
SP,2013,248251
SP,2014,235154
SP,2015,232426
SP,2016,237724
SP,2017,234502
SP,2018,233015
TO,2003,2012
TO,2004,2377
TO,2005,2189
TO,2006,2003
TO,2007,2276
TO,2008,12468
TO,2009,13361
TO,2010,12737
TO,2011,13427
TO,2012,10730
TO,2013,11532
TO,2014,10398
TO,2015,8761
TO,2016,6473
TO,2017,7663
TO,2018,6437
