Estado,Ano,frp_anual_queimadas
AC,2004,330151.8
AC,2005,862647.0
AC,2006,266925.4
AC,2007,310171.7
AC,2008,207572.7
AC,2009,100815.4
AC,2010,324009.1
AC,2011,95329.8
AC,2012,153155.2
AC,2013,152704.7
AC,2014,157344.2
AC,2015,192535.7
AC,2016,333761.5
AC,2017,204946.0
AC,2018,238340.9
AC,2019,296964.4
AC,2020,360631.6
AC,2021,393754.8
AC,2022,598630.3
AC,2023,215084.9
AL,2004,6578.6
AL,2005,11561.8
AL,2006,9836.6
AL,2007,10244.9
AL,2008,14710.8
AL,2009,13686.9
AL,2010,11690.6
AL,2011,8580.1
AL,2012,15711.2
AL,2013,9022.6
AL,2014,4425.0
AL,2015,21367.8
AL,2016,17764.1
AL,2017,4305.8
AL,2018,6490.1
AL,2019,8029.400000000001
AL,2020,6251.7
AL,2021,5458.3
AL,2022,5451.8
AL,2023,9457.0
AM,2004,436768.0
AM,2005,978434.5
AM,2006,714936.3
AM,2007,608830.3
AM,2008,378391.6
AM,2009,407822.9
AM,2010,635055.3
AM,2011,197535.6
AM,2012,497894.0
AM,2013,212748.3
AM,2014,436554.9
AM,2015,750186.8
AM,2016,662898.9
AM,2017,640325.4
AM,2018,608367.5
AM,2019,971243.8
AM,2020,1047705.1
AM,2021,1231995.8
AM,2022,1561958.2
AM,2023,1104446.7
AP,2004,133278.6
AP,2005,73174.0
AP,2006,61920.7
AP,2007,54772.200000000004
AP,2008,77570.1
AP,2009,86698.1
AP,2010,32785.0
AP,2011,46293.3
AP,2012,82230.9
AP,2013,55487.9
AP,2014,56728.4
AP,2015,104784.3
AP,2016,84724.2
AP,2017,67231.9
AP,2018,39175.1
AP,2019,42094.7
AP,2020,21851.5
AP,2021,20847.7
AP,2022,30336.6
AP,2023,83661.3
BA,2004,1272039.4
BA,2005,1294693.9
BA,2006,530028.4
BA,2007,2382569.6
BA,2008,1628530.8
BA,2009,533476.4
BA,2010,1398201.7
BA,2011,1081144.8
BA,2012,1808079.9
BA,2013,529950.3
BA,2014,598204.3
BA,2015,1593228.8
BA,2016,374428.7
BA,2017,509030.4
BA,2018,317817.4
BA,2019,534494.5
BA,2020,640488.7
BA,2021,1637257.5
BA,2022,728509.2
BA,2023,823073.5
CE,2004,698235.7999999999
CE,2005,504270.7
CE,2006,373126.4
CE,2007,432226.5
CE,2008,480927.5
CE,2009,287670.3
CE,2010,233822.1
CE,2011,238220.5
CE,2012,220863.5
CE,2013,149404.1
CE,2014,113363.7
CE,2015,152460.4
CE,2016,232862.3
CE,2017,194668.1
CE,2018,144932.4
CE,2019,239488.2
CE,2020,209163.1
CE,2021,254642.3
CE,2022,201080.2
CE,2023,380505.6
DF,2004,14050.8
DF,2005,4486.700000000001
DF,2006,4678.8
DF,2007,20641.6
DF,2008,7105.4
DF,2009,5227.0
DF,2010,31452.1
DF,2011,17886.8
DF,2012,6930.2
DF,2013,3441.4
DF,2014,14164.4
DF,2015,7022.1
DF,2016,10443.6
DF,2017,19797.8
DF,2018,3080.9
DF,2019,10819.0
DF,2020,8005.2
DF,2021,15117.0
DF,2022,16026.0
DF,2023,2915.1
ES,2004,5809.0
ES,2005,6453.6
ES,2006,15110.7
ES,2007,26346.9
ES,2008,12186.2
ES,2009,4847.3
ES,2010,8086.4
ES,2011,11080.9
ES,2012,10939.8
ES,2013,6677.4
ES,2014,9010.4
ES,2015,36720.2
ES,2016,36916.6
ES,2017,5473.6
ES,2018,4471.6
ES,2019,24954.6
ES,2020,9196.1
ES,2021,14130.6
ES,2022,12035.8
ES,2023,19664.0
GO,2004,377149.60000000003
GO,2005,239580.9
GO,2006,148281.6
GO,2007,614448.6
GO,2008,242016.4
GO,2009,105740.0
GO,2010,844524.7
GO,2011,303557.8
GO,2012,306428.1
GO,2013,132187.1
GO,2014,262898.9
GO,2015,349468.0
GO,2016,274631.3
GO,2017,399035.5
GO,2018,155080.4
GO,2019,572458.4
GO,2020,445663.9
GO,2021,342158.7
GO,2022,246767.2
GO,2023,121676.9
MA,2004,2392479.4
MA,2005,2188210.2
MA,2006,1339710.9
MA,2007,2892147.5
MA,2008,1435043.2
MA,2009,1087072.9
MA,2010,2063491.7999999998
MA,2011,960325.8
MA,2012,1950781.0
MA,2013,946196.1
MA,2014,1329292.1
MA,2015,1685353.3
MA,2016,1301604.4
MA,2017,1615383.2
MA,2018,707733.6
MA,2019,891919.5
MA,2020,853403.0
MA,2021,734705.3
MA,2022,1017869.8
MA,2023,1018096.2
MG,2004,554594.0
MG,2005,621489.6
MG,2006,271778.3
MG,2007,1094108.2999999998
MG,2008,645151.4
MG,2009,175947.8
MG,2010,618534.2
MG,2011,552823.2
MG,2012,572310.3
MG,2013,225954.3
MG,2014,554016.2
MG,2015,547347.9
MG,2016,297820.4
MG,2017,424749.5
MG,2018,206586.1
MG,2019,511927.3
MG,2020,533350.4
MG,2021,769141.0
MG,2022,326338.4
MG,2023,245587.0
MS,2004,407636.4
MS,2005,966656.6
MS,2006,210359.3
MS,2007,756595.7000000001
MS,2008,222822.7
MS,2009,365909.7
MS,2010,446987.5
MS,2011,213740.2
MS,2012,484465.2
MS,2013,182618.0
MS,2014,84899.1
MS,2015,243882.7
MS,2016,301249.4
MS,2017,293747.6
MS,2018,122948.2
MS,2019,911885.0
MS,2020,906413.1
MS,2021,990069.6
MS,2022,138494.8
MS,2023,291838.0
MT,2004,9687170.6
MT,2005,6866943.3
MT,2006,3953963.6
MT,2007,6780038.1
MT,2008,2037772.6
MT,2009,687846.7
MT,2010,5049991.100000001
MT,2011,1197164.1
MT,2012,2002179.4
MT,2013,1017737.9
MT,2014,1724706.4
MT,2015,1821127.9
MT,2016,1692788.9
MT,2017,2154788.7
MT,2018,1051728.6
MT,2019,2301110.3
MT,2020,4093720.1
MT,2021,1588327.0
MT,2022,2188381.1
MT,2023,1565366.5
PA,2004,6026930.7
PA,2005,5664704.8
PA,2006,4238625.4
PA,2007,5163497.3
PA,2008,2935981.1
PA,2009,2152110.3
PA,2010,3855117.0
PA,2011,1169270.9
PA,2012,1930930.5
PA,2013,904966.3
PA,2014,1743228.5
PA,2015,2273791.7
PA,2016,1425738.5
PA,2017,2761144.9
PA,2018,1112253.8
PA,2019,1802957.8
PA,2020,2371932.5
PA,2021,1417830.4
PA,2022,2454267.0
PA,2023,1929870.4
PB,2004,56728.1
PB,2005,49802.2
PB,2006,54452.5
PB,2007,50302.700000000004
PB,2008,50379.4
PB,2009,56426.1
PB,2010,34310.7
PB,2011,43660.1
PB,2012,22501.6
PB,2013,12521.8
PB,2014,15418.9
PB,2015,26460.5
PB,2016,40501.0
PB,2017,14911.0
PB,2018,34891.4
PB,2019,67667.3
PB,2020,41485.7
PB,2021,53852.3
PB,2022,37267.5
PB,2023,42912.6
PE,2004,118546.9
PE,2005,105421.3
PE,2006,90102.8
PE,2007,121962.5
PE,2008,96327.8
PE,2009,83223.4
PE,2010,95179.6
PE,2011,85547.9
PE,2012,58452.9
PE,2013,32864.6
PE,2014,29545.4
PE,2015,44121.3
PE,2016,40686.7
PE,2017,27953.5
PE,2018,26486.6
PE,2019,44368.1
PE,2020,45991.7
PE,2021,57345.5
PE,2022,65523.3
PE,2023,97412.9
PI,2004,781391.5
PI,2005,775313.5
PI,2006,436531.1
PI,2007,1175566.5
PI,2008,457558.4
PI,2009,375488.9
PI,2010,1508627.5
PI,2011,783165.5
PI,2012,1109166.0
PI,2013,504919.7
PI,2014,601720.0
PI,2015,1218505.3
PI,2016,562591.4
PI,2017,510330.0
PI,2018,560175.5
PI,2019,725588.6
PI,2020,615003.3
PI,2021,965891.9
PI,2022,677768.9
PI,2023,900180.4
PR,2004,192336.6
PR,2005,128521.59999999999
PR,2006,163291.2
PR,2007,141019.5
PR,2008,94775.1
PR,2009,82652.8
PR,2010,97098.40000000001
PR,2011,88577.9
PR,2012,76117.1
PR,2013,67720.7
PR,2014,60231.4
PR,2015,59900.9
PR,2016,103122.1
PR,2017,100265.2
PR,2018,68652.0
PR,2019,99944.6
PR,2020,107673.0
PR,2021,110773.4
PR,2022,42331.7
PR,2023,32047.3
RJ,2004,16365.199999999999
RJ,2005,16278.4
RJ,2006,30206.3
RJ,2007,35198.2
RJ,2008,12195.6
RJ,2009,8322.4
RJ,2010,31940.2
RJ,2011,30093.7
RJ,2012,11310.3
RJ,2013,7452.5
RJ,2014,45371.4
RJ,2015,12786.3
RJ,2016,17187.7
RJ,2017,24197.3
RJ,2018,4344.1
RJ,2019,19173.2
RJ,2020,17699.2
RJ,2021,11505.2
RJ,2022,18912.0
RJ,2023,8050.2
RN,2004,58562.3
RN,2005,74872.7
RN,2006,42359.8
RN,2007,44876.1
RN,2008,36166.9
RN,2009,38426.1
RN,2010,38486.7
RN,2011,21994.6
RN,2012,18310.4
RN,2013,15454.0
RN,2014,23173.2
RN,2015,22499.8
RN,2016,20173.0
RN,2017,31929.5
RN,2018,34716.3
RN,2019,42872.2
RN,2020,38908.9
RN,2021,30841.1
RN,2022,28017.7
RN,2023,31198.3
RO,2004,3452354.9000000004
RO,2005,3680899.6
RO,2006,2127362.0
RO,2007,1907729.7000000002
RO,2008,623775.3
RO,2009,243523.1
RO,2010,1065666.6
RO,2011,326917.4
RO,2012,481333.5
RO,2013,197708.9
RO,2014,426841.3
RO,2015,920464.5
RO,2016,788508.2
RO,2017,714640.0
RO,2018,608323.3
RO,2019,890840.8
RO,2020,741960.3
RO,2021,764892.7
RO,2022,931114.0
RO,2023,429817.3
RR,2004,94543.7
RR,2005,69442.4
RR,2006,88758.7
RR,2007,151244.1
RR,2008,108203.6
RR,2009,90534.0
RR,2010,84269.9
RR,2011,43166.8
RR,2012,43806.7
RR,2013,56912.6
RR,2014,114242.1
RR,2015,117987.3
RR,2016,178876.9
RR,2017,57345.1
RR,2018,124468.3
RR,2019,247923.1
RR,2020,65969.7
RR,2021,26436.5
RR,2022,36032.1
RR,2023,88220.6
RS,2004,76912.5
RS,2005,50297.1
RS,2006,66675.9
RS,2007,42932.2
RS,2008,40441.3
RS,2009,47531.6
RS,2010,37220.8
RS,2011,29893.2
RS,2012,42419.8
RS,2013,26750.2
RS,2014,31195.1
RS,2015,21985.1
RS,2016,60481.4
RS,2017,38049.3
RS,2018,29037.3
RS,2019,56788.0
RS,2020,76111.3
RS,2021,48651.3
RS,2022,54815.2
RS,2023,32598.9
SC,2004,117264.9
SC,2005,71817.6
SC,2006,110966.3
SC,2007,50444.4
SC,2008,39316.4
SC,2009,37771.2
SC,2010,37114.8
SC,2011,30092.5
SC,2012,33479.0
SC,2013,30889.5
SC,2014,20254.2
SC,2015,14961.2
SC,2016,46948.9
SC,2017,40735.6
SC,2018,27703.0
SC,2019,38163.8
SC,2020,50372.3
SC,2021,49528.5
SC,2022,25937.9
SC,2023,24509.7
SE,2004,10129.099999999999
SE,2005,11307.8
SE,2006,11730.5
SE,2007,8159.200000000001
SE,2008,12905.4
SE,2009,9982.9
SE,2010,5930.6
SE,2011,9139.8
SE,2012,8744.1
SE,2013,7270.4
SE,2014,3172.7
SE,2015,10163.1
SE,2016,3980.6
SE,2017,2871.7
SE,2018,3846.8
SE,2019,2775.7
SE,2020,3039.4
SE,2021,5910.0
SE,2022,1933.3
SE,2023,3880.6
SP,2004,123441.20000000001
SP,2005,110608.9
SP,2006,173628.2
SP,2007,146265.8
SP,2008,107217.5
SP,2009,51523.5
SP,2010,514138.8
SP,2011,250304.0
SP,2012,112777.5
SP,2013,90435.2
SP,2014,296907.8
SP,2015,89274.9
SP,2016,142631.3
SP,2017,233996.6
SP,2018,161470.8
SP,2019,163680.1
SP,2020,528245.8
SP,2021,532292.7
SP,2022,64946.9
SP,2023,70510.2
TO,2004,774779.5
TO,2005,866375.8
TO,2006,454700.5
TO,2007,1436615.4
TO,2008,586334.4
TO,2009,251940.3
TO,2010,1830522.8
TO,2011,551663.3
TO,2012,1103382.4
TO,2013,489696.3
TO,2014,708339.2
TO,2015,861357.2
TO,2016,835761.6
TO,2017,1069284.7
TO,2018,353442.8
TO,2019,778608.2
TO,2020,726708.8
TO,2021,504688.9
TO,2022,626374.9
TO,2023,444361.0
